Course,Course GPA,Professor,Professor Average GPA
Programming II (300),3.32,AKHIL POLAMARASETTY,3.49
Programming II (300),3.32,MOHIT LOGANATHAN,3.53
Programming II (300),3.32,PREETI NAYAK,3.44
Programming II (300),3.32,PRIYAVARSHINI MURUGAN,3.53
Programming II (300),3.32,DEBARSHI DEKA,3.56
Programming II (300),3.32,CHANGHO SHIN,3.40
Programming II (300),3.32,SNEHAL RAJESH WADHWANI,3.46
Programming II (300),3.32,KUSHAGRA KAPIL,3.52
Programming II (300),3.32,AISHA MOHAMED,3.53
Programming II (300),3.32,MUHAMMAD SALMAN MUNAF,3.58
Programming II (300),3.32,MINGRUI LIU,3.53
Programming II (300),3.32,JEFF NYHOFF,3.33
Programming II (300),3.32,ZEYI HUANG,3.73
Programming II (300),3.32,ARAVIND VARATHAN,3.50
Programming II (300),3.32,RAJESH SHASHI KUMAR,3.50
Programming II (300),3.32,HARSH SAHU,3.50
Programming II (300),3.32,EVANGELIA GERGATSOULI,3.44
Programming II (300),3.32,ABISHEK KUMAR,3.39
Programming II (300),3.32,HIMANSHU SAGAR,3.11
Programming II (300),3.32,MAKESH NARSIMHAN SREEDHAR,3.13
Programming II (300),3.32,HANG YIN,3.18
Programming II (300),3.32,RAJAN DALAL,3.71
Programming II (300),3.32,SULONG ZHOU,3.71
Programming II (300),3.32,JUAN RIOS,3.71
Programming II (300),3.32,GARY DAHL,3.21
Programming II (300),3.32,SRILAKSHMI BHARADWAJ,3.45
Programming II (300),3.32,ADITYA BARVE,3.45
Programming II (300),3.32,HARIT VISHWAKARMA,3.45
Programming II (300),3.32,SHUBHAM BHARTI,3.45
Programming II (300),3.32,MENGXIAO ZHANG,3.30
Programming II (300),3.32,SRI HARSHAL PARIMI,3.30
Programming II (300),3.32,CHETNA SUREKA,3.24
Programming II (300),3.32,VANSHIKA BAONI,3.24
Programming II (300),3.32,ASHWIN KESHAV TAYADE,3.24
Programming II (300),3.32,ADARSH MITTAL,3.24
Programming III (400),3.34,ANDREW KUEMMEL,3.59
Programming III (400),3.34,YELUN BAO,3.29
Programming III (400),3.34,ZHEYANG XIONG,3.19
Programming III (400),3.34,ALEX PESECKIS,3.21
Programming III (400),3.34,JIANGYI LIU,3.26
Programming III (400),3.34,HAFEEZ ALI ANEES ALI,3.27
Programming III (400),3.34,MARIO IVAN JAEN MARQUEZ,3.21
Programming III (400),3.34,RAHUL CHOUDHARY,3.29
Programming III (400),3.34,VAISHNAVI BHARGAVA,3.19
Programming III (400),3.34,AYDAN BAILEY,3.21
Programming III (400),3.34,PUCHENG XIONG,3.20
Programming III (400),3.34,GOWTHAM RAMESH,3.22
Programming III (400),3.34,MOHIT LOGANATHAN,3.40
Programming III (400),3.34,AISHA MOHAMED,3.30
Programming III (400),3.34,GARY DAHL,3.31
Programming III (400),3.34,MATT SCHWENNESEN,3.21
Programming III (400),3.34,CONNOR BAILEY,3.16
Programming III (400),3.34,RISHABH SHARMA,3.14
Programming III (400),3.34,HONGYI LIU,3.14
Programming III (400),3.34,BENJAMIN GUSTAFSON,3.24
Programming III (400),3.34,BERYL JIANG,3.21
Programming III (400),3.34,JAEHYUN LEE,3.21
Programming III (400),3.34,FLORIAN HEIMERL,3.29
Programming III (400),3.34,SARTHAK CHOUDHARY,3.19
Programming III (400),3.34,MANAS TRIVEDI,3.22
Programming III (400),3.34,THOMAS ZENG,3.20
Programming III (400),3.34,CASEY FORD,3.23
Programming III (400),3.34,CALLIE KIM,3.38
Programming III (400),3.34,YUYE JIANG,3.26
Programming III (400),3.34,KEREN CHEN,3.26
Programming III (400),3.34,HAOYUE BAI,3.26
Programming III (400),3.34,LILLY PERALTA,3.22
Programming III (400),3.34,ATHANASIOS PITTAS,3.22
Programming III (400),3.34,ZHUOMING LIU,3.25
Programming III (400),3.34,NICHOLAS RUSSELL,3.24
Programming III (400),3.34,BINWEI YAO,3.24
Programming III (400),3.34,LAKSHIKA RATHI,3.25
Programming III (400),3.34,GRANT WALDOW,3.19
Programming III (400),3.34,ANVAY GROVER,3.21
Programming III (400),3.34,ROBERT NAGEL,3.21
Programming III (400),3.34,KEVIN KRISTENSEN,3.76
Programming III (400),3.34,LAIK RUETTEN,3.27
Programming III (400),3.34,DANIEL FINER,3.25
Programming III (400),3.34,ILAY RAZ,3.32
Programming III (400),3.34,KARAN GROVER,3.25
Programming III (400),3.34,APRIL ROSZKOWSKI,3.25
Programming III (400),3.34,SAMUEL CHURCH,3.23
Programming III (400),3.34,JIAHUI ZHANG,3.27
Programming III (400),3.34,NAMAN GUPTA,3.27
Programming III (400),3.34,RACHIT TIBREWAL,3.27
Programming III (400),3.34,SURABHI GUPTA,3.39
Programming III (400),3.34,ABHINAV AGARWAL,3.23
Programming III (400),3.34,SUJITHA PERUMAL,3.35
Programming III (400),3.34,MINGHAO YAN,3.29
Programming III (400),3.34,JAMES SORENSON,3.54
Programming III (400),3.34,BRIANNA COCHRAN,3.34
Programming III (400),3.34,CAMERON RUGGLES,3.19
Programming III (400),3.34,TINGJIA CAO,3.40
Programming III (400),3.34,MU CAI,3.21
Programming III (400),3.34,EVAN WIREMAN,3.28
Programming III (400),3.34,DEBRA DEPPELER,3.41
Programming III (400),3.34,EDDIE BARTON,3.67
Programming III (400),3.34,. AKSHAT,3.66
