Professor,Professor GPA
DANIEL ERMAN,3.11
SUKHENDU MEHROTRA,3.44
DONALD PASSMAN,3.59
STEPHEN WAINGER,4.0
BAIHE DUAN,2.58
ALEX MENZIA,2.71
RYAN TAMURA,2.39
JIA HAO TAN,2.72
KARTHIK RAVISHANKAR,2.43
JACOB WOOD,2.59
HONGJING HUANG,2.41
UYEN THIEU,2.77
RAJAT SRIVASTAVA,2.39
QI SUN,2.58
KEVIN DAO,2.52
KAIYI HUANG,2.68
BOYANA MARTINOVA,2.9
ZINAN WANG,2.84
ALICE VIDRINE,2.41
ROU WEN,2.49
ROSA DANESHVAR,2.27
CAITLIN DAVIS,2.52
ALEXANDER MINE,2.95
JACOB DENSON,2.59
AMIN IDELHAJ,2.3
NATHAN NICHOLSON,2.73
HALEY KOTTLER,2.58
SOPHIA WIEDMANN,3.04
YU HUANG,2.83
EWAN DALBY,2.42
KWAME NYAMEKYE,2.48
ANTONIO NAKID CORDERO,2.67
JUSTIN SUKIENNIK,2.61
ALLISON BYARS,2.44
HAI MAIN-LUU,2.48
WILLIAM HARDT,2.0
SIDNEY JENNINGS,2.74
PARTH KHATRI,2.24
CHAOJIE YUAN,2.64
MICHAEL POWERS,3.29
JENNY WEI,2.72
BHASKAR PUGGAL,2.92
ZONGSHEN WU,3.0
YUGALI GULLAPALLI,3.38
TASNIA TABASSUM,3.36
ADRIANA NENCIU,2.99
OMER MERMELSTEIN,4.0
TRINH NGUYEN,2.53
CHENXI WU,3.49
ZIQUAN YANG,3.08
BOYA WEN,3.2
DANIEL COREY,2.65
MARK SHUSTERMAN,2.78
NASER TALEBIZADEH SARDARI,2.83
ALEXANDRA KJUCHUKOVA,2.9
MANUEL GONZALEZ VILLA,3.25
LEESA ANZALDO,2.97
SEAN ROSTAMI,2.72
JAMES SIZEMORE,3.06
PARKER LOWREY,2.03
ROBERT HARRON,2.82
ZEV KLAGSBRUN,2.55
EVAN DUMMIT,2.55
GABRIEL NAVARRO,3.0
BRYDEN CAIS,3.29
FEDOR NAZAROV,3.71
RIAD MASRI,2.88
SEAN PAUL,2.5
MUSTAFA KALAFAT,3.44
TONGHAI YANG,2.79
ARUN RAM,2.48
LEV BORISOV,3.04
DIETRICH UHLENBROCK,2.86
SERGUEI DENISSOV,3.3
